Frases,Codi,Google,Errors,Apertium,Errors,ChatGPT,,Softcatala,Errors,Gemini,Errors,Yandex,
Le gustaba desayunar en la cama y estaba acostumbrada.,2,Li agradava esmorzar al llit i hi estava acostumada.,,Li agradava esmorzar al llit i hi estava acostumada.,,Li agradava esmorzar al llit i s'hi estava acostumada.,1,Li agradava desdejunar en el llit i estava acostumada.,1,Li agradava esmorzar al llit i estava acostumada.,1,Li agradava esmorzar al llit i hi estava acostumada.,
Quería el mejor cava e insistía mucho.,2,Volia el millor cava i insistia molt.,1,Volia el millor cava i insistia molt.,1,Volia el millor cava i hi insistia molt.,,Volia el millor cava i insistia molt.,1,Volia el millor cava i insistia molt.,1,Volia el millor cava i va insistir molt.,1
Bebed vino con moderación y no abuséis.,2,Beveu vi amb moderació i no abuseu.,1,Beveu vi amb moderació i no abuseu.,,Beveu vi amb moderació i no en feu abús.,,Beveu vi amb moderació i no abuseu.,1,Beveu vi amb moderació i no en abuseu.,1,Beu vi amb moderació i no abusis.,1
Hemos ido al teatro pero tu no puedes ir.,2,Hem anat al teatre però tu no hi pots anar.,,Hem anat al teatre però el teu no hi pots anar.,,Hem anat al teatre però tu no hi pots anar.,,Hem anat al teatre però el teu no pots anar.,1,Hem anat al teatre però tu no pots anar.,1,Hem anat al teatre però no hi pots anar.,
Recibió tres puñetazos y ya tenía suficiente.,2,Va rebre tres cops de puny i ja en tenia prou.,,Va rebre tres cops de puny i ja en tènia prou.,,Va rebre tres cops de puny i ja en tenia prou.,,Va rebre tres cops de puny i ja tenia suficient.,1,Va rebre tres cops de puny i ja n'hi havia prou.,,Va rebre tres cops de puny i en va tenir prou.,
Huyó de la ciudad y se alejó.,2,Va fugir de la ciutat i es va allunyar.,1,Va fugir de la ciutat i és va allunyar.,1,Va fugir de la ciutat i s'hi va allunyar.,1,Va fugir de la ciutat i es va allunyar.,1,Va fugir de la ciutat i se'n va allunyar.,,Va fugir de la ciutat i se'n va anar.,1
Agarra la bandeja y pon encima un jarrón.,2,Agafa la safata i posa a sobre un gerro.,1,Agafa la safata i posa a sobre un gerro.,1,Agafa la safata i hi posa un gerro sobre ella.,,Agarra la safata i posa damunt un gerro.,1,Agafa la safata i posa-hi un gerro a sobre.,,Agafa la safata i posa un gerro a sobre.,1
No saben nada de cálculo pero tienen mucho interés.,2,No saben res de càlcul però tenen molt d'interès.,1,No saben cap de bestiar de càlcul però tenen molt d'interès.,1,No saben res de bestiar de càlcul però hi tenen molt d'interès.,,No saben gens de càlcul però tenen molt interès.,1,No saben res de càlcul però tenen molt d'interès.,1,"No saben res de càlcul, però tenen molt d'interès.",1
Les gusta la campaña y colaboran.,2,Els agrada la campanya i hi col·laboren.,,Els agrada la campanya i hi col·laborin.,,Elles gaudeixen de la campanya i hi col·laboren.,,Els agrada la campanya i col·laboren.,1,Els agrada la campanya i col·laboren.,1,Els agrada la campanya i hi participen.,1
Recuerda que es el cumpleaño de Pedro y no te olvides.,2,Recorda que és l'aniversari de Pere i no t'oblidis.,1,Recorda que és l'aniversari de Pere i no t'oblidis.,1,Recorda que és l'aniversari de Pere i no t'oblidis.,1,Recorda que és el *cumpleaño de Pedro i no t'oblidis.,1,Recorda que és el aniversari de Pedro i no te n'oblidis.,,Recordeu que és l'aniversari De Peter i no ho oblideu.,1
Almorzarán en casa y también cenarán.,2,Dinaran a casa i també soparen.,1,Dinaran a casa i també soparen.,1,Dinaran a casa i també hi soparen.,,Esmorzaran a casa i també soparan.,1,Dinar i sopar seran a casa.,1,Dinaran a casa i també soparan.,1
Se responsabilizaron de las obras pero ahora se desentienden.,2,Es van responsabilitzar de les obres però ara se'n desentenen.,,És van responsabilitzar dels obris però llaura es'n desentenen.,,Es van responsabilitzar dels obrirs però es'n desentenen.,,Es van responsabilitzar de les obres però ara de desentenen.,,Es van responsabilitzar de les obres però ara se'n desentenen.,,"Van assumir la responsabilitat de les obres, però ara les ignoren.",
No vendrá a la hora a la cena pero ya aparecerá.,2,"No vindrà a l'hora al sopar, però ja apareixerà.",,"No vindrà a l'hora al sopar, però ja apareixerà.",,"No vindrà a l'hora al sopar, però ja apareixerà.",,No vindrà a l'hora al sopar però ja apareixerà.,,No vindrà a l'hora de sopar però ja apareixerà.,,"No serà aquí a l'hora de sopar, però apareixerà.",
Hay muchos gastos pero yo no contribuiré.,2,Hi ha moltes despeses però jo no hi contribuiré.,,Hi ha moltes despeses però jo no hi contribuiré.,,Hi ha moltes despeses però jo no hi contribuiré.,,Hi ha moltes despeses però jo no contribuiré.,1,Hi ha moltes despeses però jo no hi contribuiré.,,"Hi ha moltes despeses, però no hi contribuiré.",
Le han castigado y se lo merece.,3,L'han castigat i s'ho mereix.,,L'han castigat i #s'ho mereix.,,L'han castigat i s'ho mereix.,,Li han castigat i s'ho mereix.,,L'han castigat i s'ho mereix.,,Ha estat castigat i s'ho mereix.,
Explica los problemas y lo repite todos los veces.,3,Explica els problemes i els repeteix tots dos cops.,,Explica els problemes i els repeteix tots dues vegades.,,Explica els problemes i els repeteix tots dues vegades.,,Explica els problemes i ho repeteix tots dues vegades.,,Explica els problemes i els repeteix tots dos cops.,,Explica els problemes i repetiu-los tots dues vegades.,
Quiere a su madre y la besa antes de salir de casa.,3,Vol la seva mare i la besa abans de sortir de casa.,,Vol la seva mare i la besa abans de sortir de casa.,,Estima la seva mare i la besa abans de sortir de casa.,,Vol a la seva mare i la besa abans de sortir de casa.,,Vol a la seva mare i la besa abans de sortir de casa.,,Estima la seva mare i la besa abans de sortir de casa.,
Compra flores y las pone en la mesa.,3,Compra flors i les posa a taula.,,Compra flors i els posa a taula.,1,Compra flors i les posa a taula.,,Compra flors i les posa en la taula.,,Compra flors i les posa a la taula.,,Compra flors i les posa sobre la taula.,
Entiende tus necesidades y las satisface.,3,Entén les teves necessitats i les satisfà.,,Entén els teves necessitats i els satisfà.,1,Entén les teves necessitats i les satisfà.,,Entén les teves necessitats i les satisfà.,,Entén les teves necessitats i les satisfac.,,Comprèn les teves necessitats i les satisfà.,
,,,66,,73,,56,,73,,48,,65
